,east,north,m1Tmax,m2Tmax,m3Tmax,m4Tmax,m5Tmax,m6Tmax,m7Tmax,m8Tmax,m9Tmax,m10Tmax,m11Tmax,m12Tmax,ANN,DJF,MAM,JJA,SON,Test01,Latit,Longit
33,34000,100000,8.0,8.0,9.2,10.8,13.0,14.5,15.8,16.2,15.2,12.6,10.1,8.5,11.9,8.2,11.0,15.5,12.6,0.00050354,52.12742,-10.424784
34,34000,101000,8.4,8.4,9.6,11.2,13.5,14.9,16.2,16.6,15.5,12.9,10.5,8.9,12.2,8.6,11.4,15.9,13.0,0.000518799,52.136399,-10.425272
35,34000,102000,8.5,8.6,9.8,11.4,13.7,15.2,16.4,16.9,15.7,13.1,10.5,9.1,12.5,8.7,11.6,16.2,13.1,0.000534058,52.145378,-10.425759
36,34000,103000,8.8,8.8,10.1,11.6,13.9,15.4,16.6,17.1,15.9,13.3,10.8,9.3,12.7,9.0,11.9,16.4,13.3,0.000549316,52.154356,-10.426248
37,34000,104000,9.7,9.7,11.1,12.7,14.9,16.4,17.6,18.0,16.9,14.2,11.7,10.3,13.7,9.9,12.9,17.3,14.3,0.000564575,52.163335,-10.426736
38,34000,105000,9.8,9.9,11.2,12.8,15.0,16.5,17.7,18.2,17.0,14.3,11.8,10.4,13.8,10.0,13.0,17.5,14.4,0.000579834,52.172314,-10.427225
39,34000,106000,9.8,9.9,11.2,12.9,15.0,16.5,17.7,18.2,17.0,14.3,11.8,10.4,13.8,10.0,13.0,17.5,14.4,0.000595093,52.181293,-10.427714
40,34000,107000,9.8,9.8,11.1,12.8,14.9,16.4,17.6,18.1,16.9,14.3,11.8,10.3,13.7,10.0,12.9,17.4,14.3,0.000610352,52.190271,-10.428203
41,34000,108000,9.4,9.4,10.7,12.3,14.5,15.9,17.3,17.6,16.6,13.9,11.4,9.9,13.2,9.6,12.5,16.9,14.0,0.00062561,52.19925,-10.428693
42,35000,74000,9.7,9.6,10.9,12.3,14.4,16.0,17.4,17.7,16.8,14.3,11.8,10.3,13.4,9.9,12.5,17.0,14.3,0.000640869,51.894262,-10.39768
43,35000,75000,9.8,9.7,10.9,12.3,14.5,16.1,17.4,17.7,16.9,14.4,11.9,10.4,13.5,10.0,12.6,17.1,14.4,0.000656128,51.903242,-10.398158
44,35000,76000,9.8,9.8,11.0,12.4,14.5,16.2,17.4,17.8,17.0,14.4,12.0,10.4,13.5,10.0,12.6,17.1,14.5,0.000671387,51.912221,-10.398636
45,35000,98000,9.1,9.1,10.4,11.9,14.2,15.7,16.9,17.4,16.3,13.8,11.2,9.6,13.0,9.3,12.2,16.7,13.8,0.000686646,52.109761,-10.409226
46,35000,99000,9.2,9.2,10.4,12.0,14.2,15.7,17.1,17.4,16.4,13.8,11.3,9.7,13.0,9.4,12.2,16.7,13.8,0.000701904,52.11874,-10.409711
47,35000,100000,9.4,9.4,10.7,12.2,14.5,16.0,17.3,17.7,16.5,14.0,11.5,9.9,13.2,9.6,12.5,17.0,14.0,0.000717163,52.127719,-10.410195
48,35000,101000,9.5,9.5,10.8,12.3,14.6,16.1,17.4,17.8,16.6,14.1,11.6,10.0,13.4,9.7,12.6,17.1,14.1,0.000732422,52.136698,-10.41068
49,35000,102000,9.5,9.5,10.8,12.4,14.7,16.2,17.4,17.8,16.7,14.1,11.6,10.0,13.5,9.7,12.6,17.1,14.1,0.000747681,52.145677,-10.411165
